comment,rating,username,user_evaluation
"Хороший сайт. Самый лучший сайт для просмотра фильмов, никогда не тормозит, всегда все ярко и интересно. Неплохая цена, и отличная работа да свою...  Не тормозит.  Мало рекламы.  Хороший звук.  Хорошая передача цветов.  Отличная цена для подписки данного сервиса.    Единственное,что можно считать за минус,это то,что только по подписке,можно смотреть фильмы без интернета.",5,tsvetkova988,positive
"Офигенный Обожала Netflix до его ухода из России. С мужем не смотрели ничего, кроме фильмов с Netflix. Шикарные фильмы, документальные, исторические, познавательные. Много нового и интересного узнали, благодаря Netflix. Очень жаль, что ушёл с российского рынка...  Контент на любой вкус  Ушёл из России",5,Lalapland,positive
"балдею Все мы в курсе что за махина этот Netflix. Вот и я присоединилась к этой огромной сети. Просто сносит мозг от радости и не могу не поделиться. Недавно друг предложил мне свой аккаунт чтобы я...  качество, выбор, удобство  нет",5,natalochka-san,positive
"Любимая платформа для просмотра фильмов и сериалов Один из моих любимых платформ для просмотров фильмов и сериалов! Большой выбор, высокое качество и хорошая озвучка - это все про нетфликс! Выбор как и русских, так и зарубежных фильмов/сериалов. Особенно важно, что самые долгожданные...  Доступность, большой выбор, высокое качество   Не на все фильмы и сериалы есть русская озвучка, приходится ждать",5,Black888,positive
"Удовлетворительное Пользовался разными кино-сервисами, пытался найти самый удобный и качественный В итоге после короткого исполтзования этого приложения понял, что это то что нужно. Простая регистрация, удобство использования и куча классных фильмов на любой вкус. Немного долго...  Простая регистрация  Удобство использования  Классный дизайн  Оптимизация на уровне  Нет",5,LurMiss,positive
"Отличный сервис, предназначенный для просмотра фильмов и сериалов Замечательная платформа для просмотра фильмов и сериалов. Что сподвигло на приобретение подписки, так это то, что Netflix является самым знаменитый онлайн-кинотеатр. Во-вторых, качество сериалов на высшем уровне (сама картинка и звук). В-третьих, всем предлагается возможность...  Хороший звук, отличная картинка и качество. Удобный интерфейс и профессиональный перевод.    Не обнаружено",5,aaneego,positive
"Довольна Я часто выбираю новинки именно на Netflix, так как здесь всегда есть актуальные фильмы и сериалы. Здесь представлено огромное количество контента, включая русские профессиональные переводы. Качество картинки и звука на Netflix просто шикарное. Я всегда...  Четкий звук; постоянно появляются новинки сериалов и фильмов  Привязка карты; цена подписки",4,Maria022,positive
"рекомендую Обожаю Нетфликс) Он славится первую очередь количеством проектов, которые выходят на их сервисе. Они создают сотни фильмов и сериалов в год, стараясь завлечь как можно больше подписчиков, а это огромный...  + Очень большое разнообразие фильмов,сериалов и т.п  +Отличное качество звука и самого изображения     -Не везде есть перевод",5,blublade,positive
Я фанатка Здравствуйте читали отзовика. Я давный фанатка Netflix. Их сериалы фильмы и мультфильмы превосходят мои ожидания чаще всего. Так же мне нравится создатели не забывают о коротких сериалах и делают их захватывающими. Одним словом...  Новики  Нет нет нет,5,Romshca,positive
"Сойдёт Здравствуйте дорогие читатели отзовик! Я часто смотрю сериалы, фильмы, мультфильмы, аниме, дорамы, документальные фильмы и прочее... и по мимо гугла, смотрела ещё и на Нетфликсе. Всё очень нравилось, да и сейчас нравится. Сериалы классные, никогда...  Разнообразие фильмов, сериалов, функции, и многое другое.   Иногда нет русской озвучки и на многих других языках (но есть субтитры).",4,Ялюблюлюдей,positive
"Инновационный и разнообразный. Один из самых важных аспектов Netflix - это его удобство. Я могу смотреть фильмы и сериалы на любом устройстве - телевизоре, компьютере или смартфоне. Это действительно удобно для просмотра в пути.  Плюсы: широкий выбор контента, персонализированные рекомендации, удобство использования на разных устройствах, собственные качественные сериалы.     Минусы: ограничения в доступе к некоторым контентам, высокая стоимость подписки, зависимость от интернет-соединения.",5,Artiommss,positive
"Очень удобно и комфортно Множество озвучек, субтитров, хорошее качество картинки и хороший звук. Есть сортировка по жанрам. Есть фильмы, мультфильмы, сериалы, аниме, мультики. На аккаунт можно добавить несколько...  Можно смотреть фильмы в оригинале  Нет",5,kiykka,positive
"Отличный канал! Я подписалась на Netflix уже более года назад. Сам интерфейс на английском языке. И возможно, первое время придется приноровиться. Но там нет ничего сложного. Очень много фильмов, сериалов и передач, в том числе с русским...  много новинок, много фильмов с русским переводом  не нашла",5,Severnaya Dama,positive
Идеальное решение Очень удобный кинотеатр. Можно посмотреть все новинки интересных сериалов. Качество изображения и звук на высоте. Пока не нашла более подходящего для меня...  Качество  Не обнаружила ,5,Dinasdivana,positive
"Просто великолепный сервис для просмотра сериалов и фильмов различного жанра Netflix - это сайт с множеством сериалов и фильмов, который захватил весь мир. Благодаря огромной библиотеке как новых, так и классических фильмов и сериалов, неудивительно, что Netflix стал основным сервисом для всех, кто любит смотреть...  Разнообразие контента  Удобство в пользовании   Множество инструментов   Цена подписки( ",5,Roflman,positive
"Большой выбор фильмов и сериалов бесплатно Приветствую всех, кто читает отзывы. В Netflix маленький выбор фильмов на русском. Многие фильмы даже не переведены на русский язык. Конечно, есть субтитры, но так не удобно смотреть, потому что хочется погрузиться в сюжет, а...  Можно смотреть, что хочешь в хорошем качестве   Мало хороших фильмов ",3,Lizaurtaeva,negative
"Хороший кинотеатр Нравится что много фильмов и сериалов можно посмотреть в хорошем качестве и на другом языке, качество на высшем уровне, пользуюсь это площадкой не больше года, радует что можно смотреть и с телефона и телевизора, нравятся...  Много контента для просмотра, можно смотреть в отличном качестве, много разных сериалов и фильмов, хорошее качество звука   Пока не нашла",5,Lubovkovalcuk78,positive
"Моя боль( Netflix - это моя любовь, ну почему его запретили в нашей стране((((( С карантина пользовалась этим кинотеатром, обожала до боли в сердце, я конечно не киноман, да и впх принципе могу использовать КиноПоиск, но есть...  Отличные  фильмы и сериалы с хорошим сюжетом  Запретили в России и теперь тяжело смотреть, приходится пытаться обходить эту систему дополнительной оплатой, через непроверенные сайты(",5,Lirikabixi,positive
"Лучшее, что со мной произошло! Все наверное слышали про Нетфликс, но мало кто им пользуется. Популярность эта платформа набрала и во время карантина. очень классная платформа. На ней можно посмотреть сериалы, фильмы, мультфильмы. Можно на английском, с субтитрами, на русском...  -подбор сериалов, кино под тебя -можно подтянуть английский -нет рекламы  -их нет",5,Сарах,positive
"отличная платформа! Отличный онлайн кинотеатр! Хорошая картинка, звук, множество фильмов и сериалов! Люблю на выходных засесть и посмотреть сериалы, очень легко находить все! Есть все на любой вкус! Качество...  звук, на лютой вкус!  не нашла",5,SAMOS278 IJSKX,positive
"Оригинальность Нетфликс лучший среди ""документальщиков"", снимают классные и захватывающие фильмы и сериалы. Регулярно пользуюсь данным сервисом, широкий простор для выбора просмотра на досуге, как одному, так и в семье, под любую...  Оригинальный  Не обнаружено",5,Я Артёмка,positive
"Очень удобный Фактически на сегодня это единственный сервис предоставляющий контент и не просто какие-то программы, а фильмы и сериалы. Вчера попробовала на Sony SmartTV... картинка просто супер. А платить или не платить, каждый решает сам по наличию...  Загрузка фильмов в оффлайн на устройства  Настройка и отображение субтитров  Невысокая цена на подписку по сравнению с конкурентами  Можно приобретать или арендовать контент от других студий  Смена языка  Полноценной бесплатной подписки не предусмотрено",5,Valeria151097,positive
"Лучший онлайн кинотеатр Недавно на своей консоли я увидел приложение Нетфликс и сразу же его установил и не пожалел, Нетфликс лучший онлайн кинотеатр, на Нетфликсе есть все лучшие сериалы, аниме, фильмы и мультсериалы, так же в приложение удобный...  Удобный интерфейс, бесплатная подписка, сами фильмы и сериала  цена за подписку",5,Linquizz,positive
"Мое общее впечатление о Netflix положительное Netflix- это платформа, которая отлично подходит для любителей фильмов и сериалов. Мне очень нравится огромная библиотека контента в различных жанрах, включая оригинальные программы, которые отличаются качественным сюжетом и актерской игрой. В целом, Netflix представляет собой...  Огромный выбор контента: Netflix предлагает огромную библиотеку фильмов, сериалов, документальных программ и оригинального контента.  Ограничение доступа к контенту: Некоторые фильмы и сериалы могут быть недоступны в некоторых странах из-за правовых ограничений.",3,Parsifal01,negative
"Очень удобный, и крутой кинотеатр Нетфликс один из самых крутых кинотеатр такие интересные фильмы, все года с интересной тематикой и сценарием, не разумные видео плохого фильма на нетфликс, все самое лучше, очень рекомендую посмотреть сериалы от нетфликс как : избежать...  Очень крутые сериалы, фильмы, мультфильм, много очень интересных и захватывающие, очень глубоки и не утомительные.  Не знаю что написать напишу, АННА ЛИЗЗА КИТИНГ КРАШ)))",5,Dengallager1408,positive
