comment,rating,username
"Идеальный способ прокачать английский Подписку на Netflix оформила, чтобы смотреть фильмы и сериалы в оригинале, тем самым совершенствуя восприятие английского на слух и расширяя словарный запас. Изначально хотела просто месяц попользоваться бесплатно (как предусмотрено самим сервисом), а потом отписаться...  Удобный интерфейс, большой выбор сериалов и фильмов, качественные видео и звук, возможность смотреть оффлайн  Для меня нет",5,sw33tmon
"Лучший сайт для просмотра фильмов и сериалов Нетфликс - это популярная стриминговая платформа, предлагающая широкий выбор фильмов и сериалов для просмотра. Сервис предлагает различные жанры и форматы контента, включая драмы, комедии, документальные фильмы, анимацию и другие. Библиотека Нетфликс постоянно обновляется новыми релизами...  Лучший сайт для просмотра сериалов и фильмов   Нет",5,Isidu
"моё хорошее мненине о платформе - Netflix – это не только платформа для потокового просмотра фильмов и сериалов, это настоящий уникальный мир разнообразия развлечений. Я уже долгое время пользователь Netflix и каждый раз отмечаю его разнообразный каталог контента, который удовлетворяет...  Большой выбор фильмом и сериалов, очень удобный, эксклюзивы   не все фильмы или сериалы переведенный на русский язык ",5,tGOATt
"Прикольный сервис! Здравствуйте, мне было сложно составлять данный отзыв, но я смог! Плюсы: Большой выбор контента. Netflix предлагает широкий выбор фильмов, сериалов, документальных фильмов и оригинального контента, поэтому вы можете найти что-то подходящее для всех зрителей. Возможность...  (Остальные перечислены выше)    Главный  минус: Некоторые пользователи недовольны заменой белокожих персонажей на чернокожих.  (Остальные перечислены выше)    Главный  плюс: Удобство.",4,Hobie
"Достойный онлайн-кинотеатр Для практики английского языка остановилась именно на этой онлайн платформе, так как аналогичные онлайн кинотеатры оказались с существенными недостатками (бесконечная реклама, неправильные субтитры, долгая регистрация, качество фильма и звука). Преимущества: - легкое подключение и отписка...  доступность, легкость подключения  не все фильмы доступны",4,gulzirazhakanova
Новинки только тут Тут очень интересных фильмов и мультфильмов. Особенно новинки. Я очень люблю детективы. А дети мультфильмы. Муж боевики. И каждый вечер один интересный фильм. А дети свой любимый мультфильмы. Иногда все месте. Классно когда есть всё...  Новинки  и топ  интересных фильмов и мультфильмов   Платный ,5,Asena06aktilek08
"Смотреть фильмы одно удовольствие! Нетфликс я просто обожаю, такое богатое разнообразие фильмов, к тому же огромный плюс - предоставляется возможность смотреть на разных языках, что является очевидным преимуществом и явным достоинством видеоплатформы. Что касается озвучки, то лично у меня...  Очень много фильмов можно посмотреть только на Netflix, больше нигде не найти  Платно, но это совершенно оправданно ",5,NikaHats
"Отличная платформа для поиска фильмов Для меня это отличная платформа для просмотров фильмов или сериалов, все снято очень качественно и круто, каждый сериал имеет свой отдельный нереальный сюжет и не ожиданная концовка. Да, я знаю что сейчас все пишут про...  Много интересных сериалов   В некоторых сезонах меняется озвучка",5,Смирнова Оксана1
"Огромный выбор сериалов и фильмов Netflix – это потрясающая платформа, которая предоставляет огромный выбор различных сериалов и фильмов. Я пользуюсь этой услугой уже несколько лет и могу с уверенностью заявить, что Netflix – один из лучших способов провести свободное время...  Хорошее качество  Дорогая подписка",4,Alik240309
"Этот сервис производит отличное впечатление В целом, Netflix - это фантастическая потоковая платформа, которая предоставляет замечательный оригинальный контент. Несмотря на наличие таких недостатков, как ротация контента, различия в качестве контента и региональные ограничения, о которых я напишу чуть ниже, плюсы...  Много фильмов и сериалов, качество  Часто много ""повестки"", ротация контента",4,Kiriilll2323
"Противоречивый сервис Я иногда пользуюсь Netflix, и мнение об этом видеосервисе сложилось как положительное, так и отрицательное. Прежде всего, я хочу сказать, мне очень нравится огромная библиотека сериалов и фильмов на Netflix. Здесь есть все - от...  Обширная библиотека фильмов и сериалов, приятный интерфейс  Региональные ограничения, много шоу сомнительного качества",3,Rigel Alpha
"Удобный сервис фильмов, сериалов, мультфильмов и видеоигр. Совсем недавно начала пользоваться данным сервисом. И очень довольна. Сервис действительно классный, здесь можно найти множество фильмов, сериалов, мультфильмов и видеоигр. Можно безгранично смотреть и скачивать фильмы. Также транслировать их на Smart Tv. Всегда появляются...  Множество фильмов,  сериалов  Платная подписка",5,YanaDug
"Лучшая вещь в мире! Нетфликс я открыла ещё когда мне было двенадцать лет. С тех пор я обожаю эту платформу, всё сериалы и фильмы, представленные на ней. Сайт очень удобный, есть всё новинки. Производство фильмов и сериалов нетфликс -это...  Очень удобно.   Нет. ",4,katyas13
"Отличный кинотеатр, подойдёт для всей семьи. Всем привет, хочу поделиться впечатлениями о кинотеатре «Netflix» Брала подписку на 30 дней. Минус в том, что дорого. У нетфликса вообще хорошие фильмы/сериалы, только на нём и смотрю. Но сейчас санкции и приходится только с...  Удобный кинотеатр, не лагает, не виснет  Много классных фильмов и новинок   Перевод на русский  Работает только с впн(приходится скачивать а гугле)   Дорогая подписка ",4,Nastyakorovosova
"Как жаль, до новых встреч Был любимый онлайн-кинотеатр. ОЧЕНЬ жалко, что ушли от нас. Можно было смотреть всякие разные новинки, удобно, что оригинальные сериалы выходили сразу сезоном. Даже некоторые русские фильмы были, что тоже...  Удобный интерфейс, большой выбор   Ушли из страны",2,pavlovanadezsjds
"Онлайн - кинотеатр Почти год пользуюсь подпиской, там много фильмов и сериалов, удостоенных наград . К примеру, сериал ""Во все тяжкие"", ""Ход королевы"": или ""Бумажный дом "", ""Черное зеркало"". Жаль, что раньше уже посмотрела многие сериалы и фильмы...  много удостоенных наград фильмов и сериалов,отличное качество звука и картинки  Нет  ",5,Karina-Kostan
"Хорошо Я приобрел себе новый телефон и увидел иконку нетфликс. Решил посмотреть что это. Зашел, и понял что это приложение для просмотра фильмов. Я зарегистрировался на этом приложении и мне дали акцию Целый месяц бесплатно. А...  Дешевая цена  Нет",5,1234445567890hdh
"Широкий выбор контента, но не для каждого. Netflix предлагает обширную библиотеку контента, включая оригинальные сериалы и фильмы, а также произведения различных студий со всего мира. Возможность смотреть контент без рекламы и выбор различных вариантов качества видео являются приятными особенностями. Однако, как и...  Нет рекламы, доступность  Ограниченный контент в некоторых регионах, ежемесячная плата",4,Kartoshe4ka201
"Я просто в восторге от Netflix — это настоящий онлайн-кинотеатр. Причин, почему мне нравится Netflix, слишком много, чтобы перечислить их все, но я попытаюсь назвать главные достоинства. Во-первых, это удобство - я могу смотреть любимые фильмы и сериалы прямо из дома и в удобное для...  Удобство пользования, Огромный выбор фильмов.  Платный контент",5,Dragon66
"Хороший сервис для просмотра фильмов и сериалов Все качественные сериалы, красочные, с хорошей картинкой и озвучкой выпускает netflix. Не дорогая подписка, приемлемая по сравнению с остальными платформами и сервисами которые предоставляют контент по подписке. Есть пробный месяц при первой регистрации, так же...  Очень большая компания, которая делает качественный контент  Не все сериалы и фильмы можно будет найти на этой площадке",5,yaroslav02
"Netflix - онлайн-кинотеатр - удобно и легко! Мне нравятся телесериалы с Netflix. глядеть кинофильмы на другом языке - это бесконечно круто! Я начал итальянский учить, но пока такой плохой уровень, однако вот думаю, фильмы - такое превосходное подспорье! Множество контента, уникального контента...  Легко найти нужное, хорошие озвучки.  Минусов нет.",5,skmb
"Хороший онлайн кинотеатр Нетфликс в наше время стал полюбившимся онлайн кинотеатром не только молодёжи, но и людей более старшего возраста. Фильмы и сериалы от Нетфликс отличаются своим наполнением и завораживающим сюжетом. Большинство фильмов, которые выходят в прокат отличаются...  Качественные фильмы   Нет ",5,ElizavetFilipina
"Много фильмов От этого онлайн кинотеатра у меня двоякое мнение. С одной стороны нравится то что здесь большой выбор фильмов, а с другой стороны мало фильмов которые можно смотреть без подписки или платно. А подписка не...  Много фильмов, удобное меню  Мало фильмов которые можно смотреть без подписки. Подписка дорогая",3,nastuldija
"Хороший онлайн-кинотеатр Пользовался пару месяцов данным кинотеатром, по какой-то бесплатной акции. Кинотеатр хороший, интерфейс удобный и понятный. Огромная коллекция фильмов и сериалов. Большая и очень качественная коллекция фильмов собственного производства, в этом Нетфликс, вообше сильно преуспел. Для...  Коллекция фильмов, интерфейс  Дорого, много картин без перевода",4,Руслан Арр
"Онлайн-кинотеатр Я безусловно оставляю положительный отзыв, потому что Netflix очень удобная и комфортная платформа для просмотра сериалов, фильмов и мультфильмов. Я часто смотрю сериалы от Netflix и они отличаются своей подачей. Их мне нравится смотреть на...  Качественные фильмы, хорошие отзывы,огромный выбор   Платная подписка ",5,Sammer walker
"Самый лучший онлайн-кинотеатр на данный момент! Все мы знаем, чтобы продукт привлекал много взглядов, ему нужен хороший внешний вид, так вот хочу сказать, что у Netflix внешний вид на высоте, даже просто из за него, уже хочется пользоваться одной из платных...  1)Классное оформление  2) полная индивидуализация  1)Не во всех фильмах и сериалах подготовлен русский язык",5,ALEKSANDRbra
"Качественный вражеский контент Почти всё, что имеется на Netflix, обязательно имеет полный или частичный набор продвижения современных американских ""ценностей"": гомосексуальная любовь, употребление наркотиков, русофобия, сатанизм, саморазрушение / суицид, ""толерантность"" во всех формах, возвеличивание мощи США. Это касается как...  Нету дополнительных поборов, кроме платы за подписку. Есть уникальные фильмы и сериалы, снятые специально по заказу Netflix. Отличный развлекательный контент. Можно ""поделить"" расходы с родственниками или друзьями за счет тарифа для нескольких устройств.  Либеральное русофобское содержание. Не на всех устройствах русифицировано меню. Часть контента без русского перевода.",1,К Василий
"Удобно, дома в тепле можно посмотреть любимый фильм Ну мы всей семьей пользуемся, у нас лично ни каких нареканий не возникло. Качество фильмов всегда на высоте, смотрим мы дома на большой плазме, так что нам даже и в настоящий кинотеатр ходить не нужно...  Качество, разнообразие, далеко ходить не надо)  Нет",5,Elka7im
"Воришки денег с карты Однажды вывалилась реклама про Netflix, типа бесплатная подписка на один месяц, и продлевать не обязательно, если не понравится, и перед окончанием пробного периода sms-оповещение придет. Заинтересовало, такой громко обсуждаемый забугорный сервис не может быть фуфлом...  Не пользовалась сервисом, не могу сказать о плюсах  Списывают деньги с карты без твоего согласия, нельзя удалить платежные данные карты",1,luxxxy
"Качественный контент и огромный выбор Netflix пришел в Россию еще 3,5 года назад. Тогда, в начале 2016 года, Netflix был не так уж и нужен: большинство фильмов и сериалов не имели ни русских субтитров, ни русской озвучки, а сам сайт...  Большой выбор контента, возможность создания в одном аккаунте 4 профилей, разнообразие жанров  Пока не нажмешь кнопку просмотра не понятно какие имеются переводы, нет русскоязычного интерфейса",5,almakar
"Самый лучший сайт для просмотра фильмов и сериалов Netflix - это настоящая находка для любителей кино и сериалов. Удобный интерфейс, огромное количество контента для любого вкуса, возможность смотреть на любом устройстве в любое время - все это делает онлайн-кинотеатр Netflix одним из лучших...  Можно смотреть все что вы так давно хотели  Думаю, что их нету и не будет",5,Hadigan
"Все пропитано толерантностью Покупал подписку в этом онлайн-кинотеатре только ради сериала ""Ведьмак"". Поскольку прочитал все книги и сыграл во все игры, хотелось, так сказать, сравнить с оригиналом. К тому же главным героем выбрали знаменитого актера - Генри Кавилл...  Нет  Бесконечная толерантность",1,Riordian
"Один из лучших сервисов Я в восторге от этого сервиса. Он предлагает невероятное разнообразие фильмов, сериалов и документальных программ, подходящих для всех возрастов и вкусов. Я люблю возможность смотреть любимые шоу в любое удобное время, и благодаря этому сервису...  Доступность, цена  Не обнаружил",5,Kiromasterr
"Мое общее впечатление о Netflix положительное Netflix- это платформа, которая отлично подходит для любителей фильмов и сериалов. Мне очень нравится огромная библиотека контента в различных жанрах, включая оригинальные программы, которые отличаются качественным сюжетом и актерской игрой. В целом, Netflix представляет собой...  Огромный выбор контента: Netflix предлагает огромную библиотеку фильмов, сериалов, документальных программ и оригинального контента.  Ограничение доступа к контенту: Некоторые фильмы и сериалы могут быть недоступны в некоторых странах из-за правовых ограничений.",3,Parsifal01
"Норм площадка Netflix - это достаточно популярная платформа стримингового контента, которая предлагает широкий выбор фильмов и сериалов. И хотя она имеет свои преимущества, у меня есть несколько претензий. Во-первых, одной из главных проблем Netflix является ограниченный выбор...  Большой выбор, разные жанры, интерфейс   Ограничения в России, качество видео и озвучки",4,Liga210
"Популярная платформа, интересные и профессиональные сериалы, которые ссорятся на одном дыхании, однако много рекламы! Netflix - это популярная платформа для потокового просмотра фильмов и сериалов, которая предлагает огромный выбор контента для всех возрастов и вкусов. Отличительной особенностью Netflix является его оригинальный контент, включающий в себя эксклюзивные сериалы и фильмы...  1. Большой выбор контента  2. Оригинальные шоу и фильмы  3. Удобство использования  4. Персонализированные рекомендации  1. Ограниченный контент  2. Рост стоимости  3. Проблемы с интернет-соединением  4. Отсутствие нового контента  ",4,UliuaRom0606
"Неудачная подписка, больше не планируем покупать Доброго дня! Год назад покупали с мужем подписку на Нетфликс, использовали полгода. Мнение о ней самое противоречивое, вроде выбор есть, но смотреть нечего. У новых сериалов нет русского языка, что тоже иногда минус, так как...  Оригинальные сериалы (Половое воспитание, Очень странные дела)  Цена, выбор фильмов и сериалов",3,Ekaterina-bs
"Отличный вариант для всей семьи Netflix это отличный выбор доля всей семьи, есть фильмы всех возможных жанров, большинство из которых удостоены наград Есть контент для детей Отличное качество звука и видео Но всё же есть и минусы, с которыми я...  Огромное количество фильмов,сериалов и передач  Не на всех фильмах есть перевод.не дешево",4,vikanikitina95
"Приятный просмотр с приятной озвучкой Смотрел сериал «Ходячие мертвецы» что мне нравится на этом сайте то что у них отличная озвучка, четкое переключение, если где то «проморгал» интересный момент фильма/сериала, легко можно вернутся, на некоторых сайтах бывает что делаешь перемотку...  Хорошая озвучка, отличное качество просмотра  Я их не обнаружил",5,Александр-444
